name,energy,fat,carbohydrates,sugar,fibers,protein,salt
Agar_Agar,160,0.2,0,0,74.1,2.4,0.3
Agave_syrup,293,0,73.1,0,0,0.2,0
Almond,624,52.1,7.8,6.6,10.6,25.6,0
Almond_drink_plain,33,2.6,1.3,1.3,0.3,1.1,0.1
Almond_drink_plain_with_calcium_and_vitamin_fortified,33,2.6,1.3,1.3,0.3,1.1,0.1
Almond_dry_roasted_salted,637,52.5,10.1,4.9,10.9,25.4,0.6
Almond_roasted_salted,649,55.2,7.2,4.6,10.5,25.6,0.8
Amaranth_seed_cooked_(without_addition_of_fat_and_salt),119,2.1,18.1,0.5,3.5,5,0
Amaranth_seed_raw,376,7,56.8,1.7,11,15.8,0
Amaretti_(Almond_cookie),464,13,76.7,76.4,2.6,8.8,0.1
Anchovis_paste,272,21.3,0.2,0.1,0,19.8,19
Appenzeller_at_least_15%_fidm,235,11.4,0,0,0,33.1,2
Appenzeller_at_least_45%_fidm,384,31.7,0,0,0,24.3,1.6
Apple_juice,50,0.1,11.9,11.3,0.2,0.2,0
Apple_pie_home-made_baked_(with_cake_dough),147,6.6,18.5,9.4,1.3,2.6,0.2
Apple_pie_home-made_baked_(with_puff_pas  y),145,6.8,17.8,9.4,1.3,2.4,0.3
Apple_fresh,52,0.3,11.6,11.5,1.4,0.3,0
Apple_peeled_dried,264,1.6,55.4,50,11.2,1.4,0
Apple_stewed_drained_(without_addition_of_sugar),56,0.3,12.2,12.1,1.5,0.3,0
Applesauce_sweetened_canned,89,0.3,20.5,20.4,1.9,0.3,0
Applesauce_unsweetened_canned,55,0.3,11.7,11.6,2.1,0.3,0
Apricot_pie_home-made_baked_(with_cake_dough),141,6.5,16.8,6.2,1.5,3,0.2
Apricot_pie_home-made_baked_(with_puff_pas  y),139,6.7,16.1,6.2,1.5,2.8,0.3
Apricot_dried,239,0.5,59.1,34.3,8.3,2.9,0
Apricot_in_syrup_canned_drained,62,0.1,13.7,13.3,1.4,0.9,0
Apricot_raw,44,0.1,9,6.7,1.7,0.8,0
Apricot_stewed_drained_(without_addition_of_sugar)_,45,0.2,9,6.7,1.7,1,0
Apricot_with_sweetener_canned_drained,40,0.1,8.2,6.1,1.4,0.9,0
Artichoke_heart_canned_drained,27,0.5,2.3,1.2,3.2,1.8,0.8
Asparagus_raw,27,0.2,3.3,3.2,1.7,2.2,0
Asparagus_steamed_(without_addition_of_salt),26,0.2,3.1,3,1.6,2.1,0
Avocado_fresh,158,15.1,1.2,1.1,5.5,1.6,0
Bacon_for_cooking,322,27.6,0.6,0.6,0,17.8,2.8
Bacon_raw,400,34.3,0.6,0.6,0,22.1,3.8
Baguette,255,0.9,51.2,0.5,2.9,9,1.6
Balsamic_vinegar,128,0.6,25.8,19.1,0.5,0.7,0.1
Bami_Goreng_prepared,130,2.4,13.1,1.3,0.9,13.5,1
Banana_dried,273,1,60.2,43.7,5.5,3,0
Banana_dried_(banana_chips),370,1.8,80.7,65.3,7.6,3.9,0
Banana_raw,89,0.1,19.7,15.6,2.7,1.1,0
Barley_flakes,333,1.5,66.1,2.2,10.3,8.5,0
Barley_risotto_cooked,135,2.2,24.6,1.3,1.7,3.5,0.8
Basil_raw,46,0.8,5.1,5,3.1,3.1,0
Basler_Leckerli_(Swiss_biscuit_from_Basel),412,7.9,75,52,2.8,7.5,0
Bean_green_dried,318,2,42.1,22.2,25.3,20.2,0.1
Bean_green_raw,32,0.2,4.1,3.3,3,1.9,0
Béchamel_sauce_home-made,147,9.9,10.1,4.8,0.2,4.2,0.7
Beef_(average_excluding_offal_chop)_raw,134,5.4,0,0,0,21.4,0.1
Beef_ragout_with_sauce_prepared,85,2.8,3,1.2,0.6,11.6,0.8
Beef_boiling_meat_lean_cooked_(without_addition_of_fat_and_salt),190,7.1,0,0,0,31.7,0.1
Beef_boiling_meat_with_fat_cooked_(without_addition_of_fat_and_salt),276,18.9,0,0,0,26.6,0.1
Beef_boiling_meat_lean_raw,132,5.5,0,0,0,20.7,0.1
Beef_boiling_meat_with_fat_raw,227,16.6,0,0,0,19.5,0.2
Beef_breast_cooked_(without_addition_of_fat_and_salt),254,15.6,0,0,0,28.3,0.1
Beef_breast_raw,188,12.5,0,0,0,18.9,0.1
Beef_chopped_raw,102,1.5,0,0,0,22.2,0.1
"Beef_en  côte_steak_pan_fried_""medium""_(without_addition_of_fat_and_salt)",162,4.6,0,0,0,30.2,0.1
Beef_en  ecôte_steak_raw,133,4.5,0,0,0,23.2,0.1
Beef_eye_of_round_raw,106,1.8,0,0,0,22.4,0.1
"Beef_Filet_fried_in_oven_""medium""_(without_addition_of_fat_and_salt)",128,2,0,0,0,27.7,0.1
Beef_filet_raw,105,2,0,0,0,21.9,0.1
Beef_liver_raw,138,3.9,5.3,0,0,20.5,0.3
Beef_minced_pan_fried_(without_addition_of_fat_and_salt),211,8.9,0,0,0,32.6,0.2
Beef_minced_raw,154,7.5,0,0,0,21.6,0.2
Beef_prime_rib_raw,165,9,0,0,0,21.1,0.1
Beef_ragout_(goulash)_raw,150,8.1,0,0,0,19.3,0.1
Beef_ragout_raw,97,1.3,0,0,0,21.2,0.1
Beef_rib_raw,155,7.3,0.5,0,0,21.7,6.2
Beef_round_schnitzel_raw,111,2.3,0,0,0,22.6,0.1
Beef_shoulder_(roast)_raw,117,3.5,0,0,0,21.6,0.1
Beef_shoulder_medium_roast_in_oven_(without_addition_of_fat_and_salt),146,3.6,0,0,0,28.5,0.1
Beef_shoulder_rare_roast_in_oven_(without_addition_of_fat_and_salt),135,3.3,0,0,0,26.3,0.1
Beef_shoulder_well_done_roast_in_oven_(without_addition_of_fat_and_salt),170,4.2,0,0,0,33.1,0.2
Beef_tongue_raw,196,13,3.7,0,0,16,0.2
Beer_shandy_(average),39,0,7.4,7.1,0,0.2,0
Beer_five_grain,40,0,2,2,0,0.6,0
Beer_lager,42,0,3.1,2.2,0,0.5,0
Beer_non-alcoholic,23,0,4.9,2.6,0,0.4,0
Bee  oot_raw,46,0.1,8.4,8.4,2.5,1.5,0.1
Bee  oot_steamed_(without_addition_of_salt),54,0.1,10,10,3,1.8,0.1
Bell_pepper_green_raw,20,0.3,2.6,2.5,2,0.8,0
Bell_pepper_green_stewed_(without_addition_of_fat_and_salt),25,0.4,3.2,3.1,2.5,1,0
Bell_pepper_red_raw,32,0.4,5.2,5.1,2,0.9,0
Bell_pepper_red_stewed_(without_addition_of_fat_and_salt),39,0.4,6.4,6.2,2.5,1.1,0
Berliner_pas  y,336,12.8,45.8,17.1,2.2,8.4,0.6
Bernese_alp_cheese,453,38.3,0,  ,0,27.1,1.6
Bernese_cheese_for_slicing,491,41.2,0,  ,0,30,1.7
Bernese_tongue_sausage,333,29.4,0,0,0,17.3,1.5
Berries_(average)_cooked_(without_addition_of_sugar),35,0.6,5.3,5,3.2,0.7,0
Berries_(average)_raw,40,0.5,6.3,5.9,3.7,0.7,0
Biber_(Filled_ginger_bread_type),355,5.6,65.6,36.9,3,7.8,0
Bierwurst_(coarse_heat-  eated_cured_&_smoked_sausage_beef_and_pork),291,25.4,0,0,0,15.6,1.4
Birchermüesli_prepared_(no_sugar_added),86,3.1,11.1,8.2,1.5,2.6,0
Birnenweggen_pas  y_with_pear,363,10.4,57.2,33.5,6.9,4.9,0.8
Black_forest_cake,248,16.1,21.4,12,0.9,3.9,0.1
Black_pudding,149,10.9,2.5,2.4,0.1,10.2,2
Black_salsify_raw,55,0.4,2.1,2,18.3,1.4,0
Black_salsify_steamed_(without_addition_of_salt),57,0.5,2.2,2.1,19.1,1.5,0
Blackberry_pie_home-made_(with_sweet_short_pas  y_base),215,11.7,22.3,10.2,3.6,3.2,0.1
Blackberry_pie_home-made_baked_(with_cake_dough),144,6.9,15.2,5.8,3.9,3.2,0.2
Blackberry_pie_home-made_baked_(with_puff_pas  y),141,7.1,14.5,5.8,3.8,3,0.3
Blackberry_fresh,47,0.7,6.5,6.1,5.2,1.1,0
Blanc_battu_with_fruits_with_sweetener,67,0.2,8.3,5.2,0.3,8,0.1
Blanc_battu_plain_low_fat,47,0,3.9,3.9,  .,7.8,0.1
Blue_cheese_(average),360,31.5,0.2,0.1,0,19.1,3.8
Blueberry_freeze-dried,338,4.4,56.4,46.4,24.4,6.1,0
Blueberry_raw,52,0.3,10.6,10,1.5,0.9,0
Boiling_meat_salad_prepared,201,14.9,1.5,1.2,0.5,15,0.8
Bouillon_meat_prepared,5,0.3,0.2,0,  .,0.3,1.1
Bouillon_poul  y_prepared,5,0.3,0.3,0.1,  .,0.3,1
Bouillon_vegetable_prepared,6,0.4,0.4,0.1,  .,0.3,0.9
Braided_bread_wholemeal_made_with_butter,272,6.4,40.4,0.9,7.3,9.5,1.2
Braided_white_bread_made_with_butter,325,11.4,45.7,2.9,2.1,9,1.5
Brazil_nut,698,66.5,4.2,2.3,7.5,17,0
Bread_(average),264,4.6,44.6,1.3,3.7,9.2,1.6
Bread_for_toasting_dark_or_multigrain,272,4.7,45.6,4,5.2,9.1,1.3
Bread_for_toasting_white_made_with_butter,316,10.4,45.7,2.7,2.2,8.9,1.4
Bread_for_toasting_white_made_with_vegetable_oil,267,3.3,49.2,4.4,2.9,8.7,1.3
Bread_for_toasting_wholemeal,271,4.9,43.7,4.2,7.4,9.3,1.3
Bread_roll_(semi_white),215,1,41.5,0.4,2.9,8.6,1.9
Bread_roll_from_St._Gallen_(semi_white),231,1,44.6,0.3,3.5,9.1,2.1
Bread_roll_with_chocolate,366,14.3,49.7,16.3,2.2,8.6,1.3
Bread_roll_white,255,0.8,51.8,0.7,2.5,8.7,1.7
Bread_with_walnuts,332,17.9,30.8,2,5.8,9.2,1.2
Breadcrumbs,373,2.1,73.5,4.4,4.5,12.7,1
Bresaola_(cured_beef),167,3.9,0.4,  .,0,32.4,6.8
Brie_at_least_45%_fidm,298,23.5,0,0,0,21.4,1.3
Brie_at_least_50%_fidm,342,30,0,0,0,17.7,1.4
Broccoli_raw,39,0.6,3.2,1.9,3.2,3.6,0
Broccoli_steamed_(without_addition_of_salt),35,0.5,2.9,1.7,2.8,3.3,0
Brown_bread,234,1.2,44.3,0.5,4.1,9.5,1.6
Brown_bread_(with_iodized_salt),234,1.2,44.3,0.5,4.1,9.5,1.6
Brunsli_(chocolate_cookie),515,29.9,43.3,39.4,6.8,14.9,0.1
Brussel_sprouts_steamed_(without_addition_of_salt),37,0.4,3,2.5,3.6,3.6,0
Brussels_sprouts_raw,41,0.4,3.3,2.8,4,4,0
Buckwheat_flour,348,2.2,68.4,0,4.2,11.5,0
Buckwheat_grain_peeled,346,1.7,71,0.4,3.7,9.8,0
Burger_patty_(beef)_pan_fried_in_HOLL_rapeseed_oil,187,9.1,6.4,1.2,0.7,19.5,0.7
Butter_cake,430,24.7,44.7,26.6,0.8,6.9,0.2
Butter_croissant_white,432,24.2,43.5,3.3,2.6,8.7,1.2
Butter_croissant_wholemeal,368,19.7,38.7,2.2,4.2,6.8,1.1
Butter_of_choice,746,82.3,0.7,0.6,0,0.7,0
Butter_40%_fat,391,39.8,3.5,3.5,0,4.8,0.3
Butter_cheese_dairy,747,82.5,0.6,0.5,0,0.4,0
Butter_clarified,885,98.3,0,0,0,0.1,0
Butterhead_lettuce_raw,14,0.2,1.1,1,1.6,1.3,0
Buttermilk,34,0.5,4,4,0,3.4,0.1
